# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'L1-icache-load-misses'
# Event count (approx.): 3950
#
# Overhead  Command      Source Shared Object   Source Symbol                        Target Symbol                         Basic Block Cycles
# ........  ...........  .....................  ...................................  ....................................  ..................
#
     0.03%  mc-lrumaint  libc.so.6              [.] __nanosleep                      [.] usleep                            55                
     0.03%  mc-lrumaint  libc.so.6              [.] __nanosleep                      [.] usleep                            33                
     0.03%  mc-lrumaint  libc.so.6              [.] usleep                           [.] lru_maintainer_thread             207               
     0.03%  mc-lrumaint  libc.so.6              [.] usleep                           [.] lru_maintainer_thread             199               
     0.03%  mc-lrumaint  libc.so.6              [.] usleep                           [.] lru_maintainer_thread             138               
     0.03%  mc-lrumaint  libc.so.6              [.] usleep                           [.] lru_maintainer_thread             113               
     0.03%  mc-lrumaint  libc.so.6              [.] usleep                           [.] lru_maintainer_thread             87                
     0.03%  mc-lrumaint  libc.so.6              [.] usleep                           [.] lru_maintainer_thread             50                
     0.03%  mc-lrumaint  libc.so.6              [k] usleep                           [k] __nanosleep                       158               
     0.03%  mc-lrumaint  libc.so.6              [k] usleep                           [k] __nanosleep                       73                
     0.03%  mc-lrumaint  libc.so.6              [k] usleep                           [k] __nanosleep                       64                
     0.03%  mc-lrumaint  libc.so.6              [k] 0x00000000000857d6               [k] clock_nanosleep                   89                
     0.03%  mc-lrumaint  libc.so.6              [k] 0x00000000000857d6               [k] clock_nanosleep                   70                
     0.03%  mc-lrumaint  libc.so.6              [k] 0x00000000000857d6               [k] clock_nanosleep                   55                
     0.03%  mc-lrumaint  libc.so.6              [k] 0x00000000000857d6               [k] clock_nanosleep                   47                
     0.03%  mc-lrumaint  libc.so.6              [k] 0x00000000000857d6               [k] clock_nanosleep                   34                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x0000000000085825               [.] clock_nanosleep                   212               
     0.03%  mc-lrumaint  libc.so.6              [.] 0x0000000000085825               [.] clock_nanosleep                   173               
     0.03%  mc-lrumaint  libc.so.6              [.] 0x0000000000085825               [.] clock_nanosleep                   148               
     0.03%  mc-lrumaint  libc.so.6              [.] 0x0000000000085825               [.] clock_nanosleep                   133               
     0.03%  mc-lrumaint  libc.so.6              [.] 0x0000000000085825               [.] clock_nanosleep                   103               
     0.03%  mc-lrumaint  libc.so.6              [.] 0x0000000000085825               [.] clock_nanosleep                   97                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x0000000000085825               [.] clock_nanosleep                   88                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x0000000000085825               [.] clock_nanosleep                   86                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x0000000000085825               [.] clock_nanosleep                   81                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x0000000000085825               [.] clock_nanosleep                   79                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x000000000008dbd6               [.] fill_item_stats_automove          54                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x000000000008dbd6               [.] fill_item_stats_automove          52                
     0.03%  mc-lrumaint  libc.so.6              [k] 0x000000000008dbd6               [k] fill_item_stats_automove          46                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x000000000008dbd6               [.] fill_item_stats_automove          44                
     0.03%  mc-lrumaint  libc.so.6              [k] 0x000000000008dbd6               [k] fill_item_stats_automove          30                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x000000000008dbd6               [.] fill_item_stats_automove          29                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x000000000008dbd6               [.] lru_pull_tail                     47                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x000000000008dbd6               [.] lru_maintainer_thread             69                
     0.03%  mc-lrumaint  libc.so.6              [k] 0x000000000008dbd6               [k] lru_maintainer_thread             68                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x000000000008dbd6               [.] lru_maintainer_thread             47                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x000000000008dbd6               [.] lru_maintainer_thread             46                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x000000000008dbd6               [.] lru_maintainer_thread             41                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x000000000008dbd6               [.] lru_maintainer_thread             39                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x000000000008dbd6               [.] lru_maintainer_thread             23                
     0.03%  mc-lrumaint  libc.so.6              [.] 0x000000000008dbd6               [.] slab_automove_run                 510               
     0.03%  mc-lrumaint  libc.so.6              [k] 0x000000000008dbd6               [k] slab_automove_run                 501               
     0.03%  mc-lrumaint  libc.so.6              [k] 0x000000000008dbd6               [k] slab_automove_run                 496               
     0.03%  mc-lrumaint  libc.so.6              [k] 0x000000000008dbd6               [k] slab_automove_run                 495               
     0.03%  mc-lrumaint  libc.so.6              [k] 0x000000000008dbd6               [k] slab_automove_run                 469               
     0.03%  mc-lrumaint  libc.so.6              [k] 0x000000000008dbd6               [k] slab_automove_run                 414               
     0.03%  mc-lrumaint  libc.so.6              [.] 0x000000000008dbd6               [.] slab_automove_run                 395               
     0.03%  mc-lrumaint  libc.so.6              [k] 0x000000000008dbd6               [k] slab_automove_run                 391               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8606879               [k] 0xffffffffa86426cf                1                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8609ec5               [k] 0xffffffffa8649d80                12                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8609ec5               [k] 0xffffffffa8649d80                7                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8609ef9               [k] 0xffffffffa8649c60                5                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8609ef9               [k] 0xffffffffa8649c60                1                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8609f41               [k] 0xffffffffa8649cb0                11                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa860f128               [k] 0xffffffffa8617df0                27                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa860f128               [k] 0xffffffffa8617df0                21                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa860f145               [k] 0xffffffffa8696e90                16                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa860f176               [k] 0xffffffffa860f5f0                15                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa860f5f1               [k] 0xffffffffa86092fb                8                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa860f5f1               [k] 0xffffffffa86092fb                6                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8610af5               [k] 0xffffffffa8696cf0                7                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8610af5               [k] 0xffffffffa8696cf0                6                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8610b39               [k] 0xffffffffa8612580                17                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8610b39               [k] 0xffffffffa8612580                10                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8610b59               [k] 0xffffffffa868a850                17                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8610bc7               [k] 0xffffffffa860f100                59                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8610bc7               [k] 0xffffffffa860f100                36                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86125ba               [k] 0xffffffffa8610b3e                22                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86125ba               [k] 0xffffffffa8610b3e                12                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86172ab               [k] 0xffffffffa8617e39                20                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8617e3a               [k] 0xffffffffa860f12d                1                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86426cd               [k] 0xffffffffa8684b70                41                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86426cd               [k] 0xffffffffa8684b70                36                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86426cd               [k] 0xffffffffa8684b70                9                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86426cd               [k] 0xffffffffa8684b70                2                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86426cd               [k] 0xffffffffa8db7360                42                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86426cd               [k] 0xffffffffa8db7360                28                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86426cd               [k] 0xffffffffa8db7360                3                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86426d7               [k] 0xffffffffa8649d70                8                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86426d7               [k] 0xffffffffa8649d70                7                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8642723               [k] 0xffffffffa875eac0                22                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8642739               [k] 0xffffffffa93b8fe7                11                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8648e4c               [k] 0xffffffffa8778923                69                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8648e4c               [k] 0xffffffffa8778923                56                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8648e4c               [k] 0xffffffffa877a38b                67                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                59                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                51                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                34                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                30                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                29                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                28                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                26                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                25                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                20                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649ca8               [k] 0xffffffffa8609efe                15                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649ca8               [k] 0xffffffffa8609efe                4                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649cb0               [k] 0xffffffffa8609f46                2                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649d7a               [k] 0xffffffffa86426bf                3                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649d7a               [k] 0xffffffffa86426dc                2                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649d90               [k] 0xffffffffa8609eca                4                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649d90               [k] 0xffffffffa8609eca                1                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c478               [.] 0xffffffffa876e727                37                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c478               [.] 0xffffffffa876e727                27                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c478               [.] 0xffffffffa876e727                11                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c478               [.] 0xffffffffa876e727                6                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c478               [.] 0xffffffffa876e727                4                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c8d9               [.] 0xffffffffa8650340                108               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c8d9               [.] 0xffffffffa8650340                87                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c8d9               [.] 0xffffffffa8650340                46                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c8d9               [.] 0xffffffffa8650340                32                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c8fa               [.] 0xffffffffa864c99e                337               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c8fa               [.] 0xffffffffa864c99e                264               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c8fa               [.] 0xffffffffa864c99e                244               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c8fa               [.] 0xffffffffa864c99e                228               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c999               [.] 0xffffffffa864c890                85                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c999               [.] 0xffffffffa864c890                59                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c999               [.] 0xffffffffa864c890                52                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c999               [.] 0xffffffffa864c890                50                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c9c3               [.] 0xffffffffa876e786                75                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c9c3               [.] 0xffffffffa876e786                68                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c9c3               [.] 0xffffffffa876e786                59                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c9c3               [.] 0xffffffffa876e786                58                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c9c3               [.] 0xffffffffa876e786                56                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa864c9c3               [k] 0xffffffffa876e786                48                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c9c3               [.] 0xffffffffa876e786                40                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c9c3               [.] 0xffffffffa876e786                32                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c9c3               [.] 0xffffffffa876e786                26                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa865038c               [.] 0xffffffffa864c8de                35                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa865038c               [.] 0xffffffffa864c8de                19                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa865038c               [.] 0xffffffffa864c8de                11                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa865038c               [.] 0xffffffffa864c8de                3                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8680dfd               [k] 0xffffffffa868a580                33                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8680e2c               [k] 0xffffffffa8776db0                20                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8684b7c               [k] 0xffffffffa8c9b580                39                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8684b85               [k] 0xffffffffa86426cf                7                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa868a58b               [k] 0xffffffffa8680dff                187               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa868a87b               [k] 0xffffffffa8696e90                43                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa868a87b               [k] 0xffffffffa8696e90                39                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa868a87b               [k] 0xffffffffa8696e90                32                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86969c3               [k] 0xffffffffa869dd1f                5                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86969c3               [k] 0xffffffffa869dd1f                2                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8696d0e               [k] 0xffffffffa8610afa                111               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8696d0e               [k] 0xffffffffa8610afa                105               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8696e98               [k] 0xffffffffa860f14a                162               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8696e98               [k] 0xffffffffa860f14a                160               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8696e98               [k] 0xffffffffa860f14a                159               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8696e98               [k] 0xffffffffa860f14a                153               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8696e98               [k] 0xffffffffa860f14a                152               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8696e98               [k] 0xffffffffa8617288                -                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8696e98               [k] 0xffffffffa868a880                142               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8696e98               [k] 0xffffffffa868a880                141               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8696e98               [k] 0xffffffffa868a880                140               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8696e98               [k] 0xffffffffa868a880                139               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869d706               [k] 0xffffffffa869dcfe                12                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869d706               [k] 0xffffffffa869dcfe                7                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869d843               [k] 0xffffffffa869dd09                34                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869d843               [k] 0xffffffffa869dd09                16                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869d843               [k] 0xffffffffa869dd09                14                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869d843               [k] 0xffffffffa869dd09                8                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869d9a3               [k] 0xffffffffa869dd14                16                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869d9a3               [k] 0xffffffffa869dd14                14                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869d9a3               [k] 0xffffffffa869dd14                8                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869dd04               [k] 0xffffffffa869d7e0                9                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869dd0f               [k] 0xffffffffa869d940                6                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869dd0f               [k] 0xffffffffa869d940                5                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869dd0f               [k] 0xffffffffa869d940                3                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869dd0f               [k] 0xffffffffa869d940                1                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869dd1a               [k] 0xffffffffa86969c0                9                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869dd1a               [k] 0xffffffffa86969c0                7                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869dd1a               [k] 0xffffffffa86969c0                1                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869dd24               [k] 0xffffffffa86a3750                10                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869dd2d               [k] 0xffffffffa869ddf5                6                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869dde2               [k] 0xffffffffa869d300                69                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869dde2               [k] 0xffffffffa869d300                7                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86a1e85               [k] 0xffffffffa869dd90                87                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86a1e85               [k] 0xffffffffa869dd90                6                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86a1e92               [k] 0xffffffffa8db5938                16                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86a382b               [k] 0xffffffffa86a375e                602               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86a382b               [k] 0xffffffffa86a375e                599               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86a382b               [k] 0xffffffffa86a375e                594               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86a382b               [k] 0xffffffffa86a375e                593               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86a382b               [k] 0xffffffffa86a375e                592               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86c6572               [k] 0xffffffffa93baad6                51                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fbbbc               [k] 0xffffffffa88a26f0                23                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcbf2               [k] 0xffffffffa93ca610                27                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcbf2               [k] 0xffffffffa93ca610                10                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcbf2               [k] 0xffffffffa93ca610                6                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcbfc               [k] 0xffffffffa93c4445                2                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcd03               [k] 0xffffffffa86fcf6e                19                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcd03               [k] 0xffffffffa86fcf6e                16                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcd03               [k] 0xffffffffa86fcf6e                14                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcd03               [k] 0xffffffffa86fcf6e                3                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcd03               [k] 0xffffffffa86fcf6e                2                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcf69               [k] 0xffffffffa86fccf0                95                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcf69               [k] 0xffffffffa86fccf0                82                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcf69               [k] 0xffffffffa86fccf0                51                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcf69               [k] 0xffffffffa86fccf0                33                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcf69               [k] 0xffffffffa86fccf0                24                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcf69               [k] 0xffffffffa86fccf0                16                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcf69               [k] 0xffffffffa86fccf0                12                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcf69               [k] 0xffffffffa86fccf0                9                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcf69               [k] 0xffffffffa86fccf0                3                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcf69               [k] 0xffffffffa86fccf0                2                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcfc0               [k] 0xffffffffa93c45d6                246               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcfc0               [k] 0xffffffffa93c45d6                239               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcfc0               [k] 0xffffffffa93c45d6                198               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcfc0               [k] 0xffffffffa93c45d6                154               
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcfc0               [k] 0xffffffffa93c45d6                92                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcfc0               [k] 0xffffffffa93c45d6                91                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcfc0               [k] 0xffffffffa93c45d6                41                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fe437               [k] 0xffffffffa8709240                58                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fe437               [k] 0xffffffffa8709240                36                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fe437               [k] 0xffffffffa8709240                28                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fe437               [k] 0xffffffffa8709240                4                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fe4b6               [k] 0xffffffffa93c44b9                24                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fe4b6               [k] 0xffffffffa93c44b9                11                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fe74c               [k] 0xffffffffa87167e0                40                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fe74c               [k] 0xffffffffa87167e0                17                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fe759               [k] 0xffffffffa93c4688                7                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa87005bc               [k] 0xffffffffa93c44e1                3                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa870110b               [k] 0xffffffffa8709ea0                1                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa870168a               [k] 0xffffffffa87768b6                78                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa870168a               [k] 0xffffffffa87768b6                58                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8706087               [k] 0xffffffffa8709e6a                1                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa870924d               [k] 0xffffffffa8649d70                40                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa870924d               [k] 0xffffffffa8649d70                38                
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa870924d               [k] 0xffffffffa8649d70                9                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa870924d               [k] 0xffffffffa8649d70                7                 
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa870924d               [k] 0xffffffffa8649d70                5                 
